Grant Hill 2018 1026 16.7 6.0 4.1 1.2 0.6 48.3 31.4 76.9
John Stockton 2009 1504 13.1 2.7 10.5 2.2 0.2 51.5 38.4 82.6 
Kevin Garnett 2020 1462 17.8 10.0 3.7 1.3 1.4 49.7 27.5 78.9
Kobe Bryant 2020 1346 25.0 5.2 4.7 1.4 0.5 44.7 32.9 83.7
Michael Jordan 2009 1072 30.1 6.2 5.3 2.3 0.8 49.7 32.7 83.5
Ray Allen 2018 1300 18.9 4.1 3.4 1.1 0.2 45.2 40.0 89.4
Steve Nash 2018 1217 14.3 3.0 8.5 0.7 0.1 49.0 42.8 90.4
Tim Duncan 2020 1392 19.0 10.8 3.0 0.7 2.2 50.6 17.9 69.6
Tracy McGrady 2017 938 19.6 5.6 4.4 1.2 0.9 43.5 33.8 74.6
Yao Ming 2016 486 19.0 9.2 1.6 0.4 1.9 52.4 20.0 83.3
